take a possible walk in the garden with 64 steps;NaN
3014;8016608;5201
3015;8022041;5433
3016;8027128;5087
3017;8032796;5668
3018;8037794;4998
3019;8043282;5488
3020;8048330;5048
3021;8053776;5446
3022;8059035;5259
3023;8064830;5795
3024;8069559;4729
3025;8075449;5890
3026;8080070;4621
3027;8086241;6171
3028;8091115;4874
3029;8096877;5762
3030;8102078;5201
3031;8107266;5188
3032;8112912;5646
3033;8117755;4843
3034;8123817;6062
3035;8128620;4803
3036;8134223;5603
3037;8139104;4881
3038;8144894;5790
3039;8149938;5044
3040;8155637;5699
3041;8160336;4699
3042;8166252;5916
3043;8171089;4837
3044;8177036;5947
3045;8181805;4769
3046;8187962;6157
3047;8192846;4884
3048;8198625;5779
3049;8203373;4748
3050;8209152;5779
3051;8213873;4721
3052;8219612;5739
3053;8224452;4840
3054;8229920;5468
3055;8235345;5425
3056;8240207;4862
3057;8245663;5456
3058;8250846;5183
3059;8256502;5656
3060;8261360;4858
3061;8266970;5610
3062;8271948;4978
3063;8277438;5490
3064;8282425;4987
3065;8288215;5790
3066;8293278;5063
3067;8299122;5844
3068;8304008;4886
3069;8309834;5826
3070;8314861;5027
3071;8320432;5571
3072;8325481;5049
3073;8331361;5880
3074;8336229;4868
3075;8342897;6668
3076;8348580;5683
3077;8355580;7000
3078;8361055;5475
3079;8367919;6864
3080;8373375;5456
3081;8380243;6868
3082;8384935;4692
3083;8390853;5918
3084;8395698;4845
3085;8401455;5757
3086;8406347;4892
3087;8412270;5923
3088;8417279;5009
3089;8423042;5763
3090;8427964;4922
3091;8433664;5700
3092;8438664;5000
3093;8444409;5745
3094;8449392;4983
3095;8455158;5766
3096;8460242;5084
3097;8465748;5506
3098;8471003;5255
3099;8476823;5820
3100;8481645;4822
3101;8487240;5595
3102;8492607;5367
3103;8497754;5147
3104;8503410;5656
3105;8508445;5035
3106;8514249;5804
3107;8519210;4961
3108;8525016;5806
3109;8530024;5008
3110;8536177;6153
3111;8541044;4867
3112;8547296;6252
3113;8552044;4748
3114;8558209;6165
3115;8563029;4820
3116;8568867;5838
3117;8573928;5061
3118;8579743;5815
3119;8585021;5278
3120;8590838;5817
3121;8595668;4830
3122;8601751;6083
3123;8606755;5004
3124;8612769;6014
3125;8617918;5149
3126;8623482;5564
3127;8629182;5700
3128;8634394;5212
3129;8640606;6212
3130;8645410;4804
3131;8651647;6237
3132;8656599;4952
3133;8662552;5953
3134;8667580;5028
3135;8673466;5886
3136;8678758;5292
3137;8684526;5768
3138;8689607;5081
3139;8695646;6039
3140;8700946;5300
3141;8706700;5754
3142;8711953;5253
3143;8717448;5495
3144;8722969;5521
3145;8728396;5427
3146;8734065;5669
3147;8739373;5308
3148;8745287;5914
3149;8750502;5215
3150;8756228;5726
3151;8761495;5267
3152;8767177;5682
3153;8772664;5487
3154;8778710;6046
3155;8783644;4934
3156;8789789;6145
3157;8794610;4821
3158;8801048;6438
3159;8806133;5085
3160;8812144;6011
3161;8817570;5426
3162;8822982;5412
3163;8828872;5890
3164;8833924;5052
3165;8840248;6324
3166;8845258;5010
3167;8851103;5845
3168;8856194;5091
3169;8862234;6040
3170;8867495;5261
3171;8873440;5945
3172;8878341;4901
3173;8884512;6171
3174;8889557;5045
3175;8895760;6203
3176;8900734;4974
3177;8907156;6422
3178;8912250;5094
3179;8918277;6027
3180;8923229;4952
3181;8929256;6027
3182;8934180;4924
3183;8940165;5985
3184;8945213;5048
3185;8950915;5702
3186;8956573;5658
3187;8961643;5070
3188;8967333;5690
3189;8972738;5405
3190;8978636;5898
3191;8983702;5066
3192;8989552;5850
3193;8994743;5191
3194;9000468;5725
3195;9005668;5200
3196;9011706;6038
3197;9016985;5279
3198;9023079;6094
3199;9028173;5094
3200;9034248;6075
3201;9039489;5241
3202;9045298;5809
3203;9050562;5264
3204;9056693;6131
3205;9061768;5075
3206;9068720;6952
3207;9074645;5925
3208;9081943;7298
3209;9087651;5708
3210;9094807;7156
3211;9100495;5688
3212;9107655;7160
3213;9112547;4892
3214;9118716;6169
3215;9123767;5051
3216;9129768;6001
3217;9134868;5100
3218;9141042;6174
3219;9146264;5222
3220;9152271;6007
3221;9157402;5131
3222;9163343;5941
3223;9168555;5212
3224;9174543;5988
3225;9179737;5194
3226;9185747;6010
3227;9191046;5299
3228;9196785;5739
3229;9202262;5477
3230;9208328;6066
3231;9213354;5026
3232;9219185;5831
3233;9224779;5594
3234;9230143;5364
3235;9236038;5895
3236;9241285;5247
3237;9247334;6049
3238;9252504;5170
3239;9258555;6051
3240;9263774;5219
3241;9270186;6412
3242;9275258;5072
3243;9281773;6515
3244;9286721;4948
3245;9293145;6424
3246;9298168;5023
3247;9304251;6083
3248;9309525;5274
3249;9315584;6059
3250;9321084;5500
3251;9327145;6061
3252;9332178;5033
3253;9338516;6338
3254;9343730;5214
3255;9349996;6266
3256;9355361;5365
3257;9361158;5797
3258;9367097;5939
3259;9372527;5430
3260;9378999;6472
3261;9384004;5005
3262;9390502;6498
3263;9395661;5159
3264;9401863;6202
3265;9407101;5238
3266;9413233;6132
3267;9418746;5513
3268;9424755;6009
3269;9430048;5293
3270;9436339;6291
3271;9441860;5521
3272;9447854;5994
3273;9453326;5472
3274;9459050;5724
3275;9464801;5751
3276;9470454;5653
3277;9476359;5905
3278;9481888;5529
3279;9488048;6160
3280;9493480;5432
3281;9499444;5964
3282;9504930;5486
3283;9510848;5918
3284;9516563;5715
3285;9522860;6297
3286;9527999;5139
3287;9534399;6400
3288;9539420;5021
3289;9546125;6705
3290;9551421;5296
3291;9557681;6260
3292;9563332;5651
3293;9568968;5636
3294;9575102;6134
3295;9580363;5261
3296;9586949;6586
3297;9592166;5217
3298;9598253;6087
3299;9603554;5301
3300;9609844;6290
3301;9615322;5478
3302;9621513;6191
3303;9626616;5103
3304;9633042;6426
3305;9638295;5253
3306;9644754;6459
3307;9649933;5179
3308;9656620;6687
3309;9661924;5304
3310;9668199;6275
3311;9673355;5156
3312;9679630;6275
3313;9684757;5127
3314;9690988;6231
3315;9696244;5256
3316;9702180;5936
3317;9708071;5891
3318;9713349;5278
3319;9719273;5924
3320;9724900;5627
3321;9731040;6140
3322;9736314;5274
3323;9742404;6090
3324;9747808;5404
3325;9753768;5960
3326;9759181;5413
3327;9765467;6286
3328;9770962;5495
3329;9777306;6344
3330;9782608;5302
3331;9788932;6324
3332;9794387;5455
3333;9800434;6047
3334;9805913;5479
3335;9812295;6382
3336;9817577;5282
3337;9824813;7236
3338;9830980;6167
3339;9838576;7596
3340;9844517;5941
3341;9851965;7448
3342;9857885;5920
3343;9865337;7452
3344;9870429;5092
3345;9876849;6420
3346;9882106;5257
3347;9888351;6245
3348;9893659;5308
3349;9900084;6425
3350;9905519;5435
3351;9911770;6251
3352;9917110;5340
3353;9923292;6182
3354;9928716;5424
3355;9934947;6231
3356;9940352;5405
3357;9946606;6254
3358;9952120;5514
3359;9958092;5972
3360;9963791;5699
3361;9970103;6312
3362;9975333;5230
3363;9981400;6067
3364;9987221;5821
3365;9992802;5581
3366;9998936;6134
3367;10004395;5459
3368;10010689;6294
3369;10016068;5379
3370;10022364;6296
3371;10027794;5430
3372;10034465;6671
3373;10039742;5277
3374;10046520;6778
3375;10051668;5148
3376;10058351;6683
3377;10063577;5226
3378;10069905;6328
3379;10075392;5487
3380;10081695;6303
3381;10087417;5722
3382;10093722;6305
3383;10098958;5236
3384;10105551;6593
3385;10110975;5424
3386;10117493;6518
3387;10123074;5581
3388;10129104;6030
3389;10135282;6178
3390;10140930;5648
3391;10147662;6732
3392;10152868;5206
3393;10159627;6759
3394;10164993;5366
3395;10171444;6451
3396;10176892;5448
3397;10183270;6378
3398;10189004;5734
3399;10195254;6250
3400;10200759;5505
3401;10207302;6543
3402;10213044;5742
3403;10219278;6234
3404;10224969;5691
3405;10230922;5953
3406;10236903;5981
3407;10242782;5879
3408;10248923;6141
3409;10254673;5750
3410;10261079;6406
3411;10266728;5649
3412;10272930;6202
3413;10278635;5705
3414;10284789;6154
3415;10290732;5943
3416;10297280;6548
3417;10302624;5344
3418;10309279;6655
3419;10314500;5221
3420;10321472;6972
3421;10326979;5507
3422;10333488;6509
3423;10339364;5876
3424;10345224;5860
3425;10351602;6378
3426;10357072;5470
3427;10363920;6848
3428;10369344;5424
3429;10375673;6329
3430;10381184;5511
3431;10387724;6540
3432;10393419;5695
3433;10399856;6437
;NaN
